"","Team","Season","winrate"
"1","EDward Gaming",2016,71.4
"2","Energy Pacemaker.All",2016,35.9
"3","Hyper Youth Gaming",2016,9.1
"4","Invictus Gaming",2016,51.3
"5","LGD Gaming",2016,50
"6","Masters 3",2016,25
"7","Oh My God",2016,46.2
"8","Qiao Gu Reapers",2016,64.9
"9","Royal Never Give Up",2016,73.7
"10","Snake Esports",2016,56.1
"11","Team WE",2016,59
"12","Vici Gaming",2016,52.5
"13","EDward Gaming",2016.5,86.5
"14","Game Talents",2016.5,43.2
"15","I May",2016.5,56.8
"16","Invictus Gaming",2016.5,39
"17","LGD Gaming",2016.5,47.4
"18","Newbee",2016.5,33.3
"19","Oh My God",2016.5,33.3
"20","Royal Never Give Up",2016.5,72.5
"21","Saint Gaming",2016.5,23.1
"22","Snake Esports",2016.5,55.3
"23","Team WE",2016.5,57.1
"24","Vici Gaming",2016.5,54.1
"25","EDward Gaming",2017,65
"26","Game Talents",2017,28.9
"27","I May",2017,46.2
"28","Invictus Gaming",2017,53.8
"29","LGD Gaming",2017,36.8
"30","Newbee",2017,42.9
"31","Oh My God",2017,54.1
"32","QG Reapers",2017,57.9
"33","Royal Never Give Up",2017,66.7
"34","Snake Esports",2017,44.7
"35","Team WE",2017,67.6
"36","Vici Gaming",2017,35.1
"37","DAN Gaming",2017.5,36.8
"38","EDward Gaming",2017.5,68.6
"39","I May",2017.5,34.2
"40","Invictus Gaming",2017.5,56.4
"41","JD Gaming",2017.5,42.1
"42","LGD Gaming",2017.5,41
"43","Newbee",2017.5,52.5
"44","Oh My God",2017.5,59
"45","Royal Never Give Up",2017.5,68.4
"46","Snake Esports",2017.5,36.6
"47","Suning",2017.5,43.9
"48","Team WE",2017.5,62.5
"49","Bilibili Gaming",2018,35.4
"50","EDward Gaming",2018,58.7
"51","FunPlus Phoenix",2018,43.5
"52","Invictus Gaming",2018,69.4
"53","JD Gaming",2018,60
"54","LGD Gaming",2018,45.5
"55","Oh My God",2018,28.3
"56","Rogue Warriors",2018,69.6
"57","Royal Never Give Up",2018,60.9
"58","Snake Esports",2018,42.6
"59","Suning",2018,55.3
"60","Team WE",2018,37.5
"61","Topsports Gaming",2018,46.8
"62","Vici Gaming",2018,21.7
"63","Bilibili Gaming",2018.5,54.1
"64","EDward Gaming",2018.5,58.3
"65","FunPlus Phoenix",2018.5,73.7
"66","Invictus Gaming",2018.5,68.6
"67","JD Gaming",2018.5,51.3
"68","LGD Gaming",2018.5,39.5
"69","Oh My God",2018.5,30.6
"70","Rogue Warriors",2018.5,27.3
"71","Royal Never Give Up",2018.5,60
"72","SinoDragon Gaming",2018.5,54.3
"73","Snake Esports",2018.5,31.6
"74","Suning",2018.5,43.2
"75","Team WE",2018.5,57.1
"76","Topsports Gaming",2018.5,66.7
"77","Vici Gaming",2018.5,30
"78","Victory Five",2018.5,36.1
"79","Bilibili Gaming",2019,65.7
"80","Dominus Esports",2019,41.7
"81","EDward Gaming",2019,60
"82","FunPlus Phoenix",2019,87.9
"83","Invictus Gaming",2019,53.7
"84","JD Gaming",2019,47.2
"85","LGD Gaming",2019,29.7
"86","LNG Esports",2019,52.8
"87","Oh My God",2019,23.5
"88","Rogue Warriors",2019,35.1
"89","Royal Never Give Up",2019,71.4
"90","Suning",2019,52.9
"91","Team WE",2019,51.4
"92","Top Esports",2019,68.6
"93","Vici Gaming",2019,28.9
"94","Victory Five",2019,34.3
"95","Bilibili Gaming",2019.5,47.6
"96","Dominus Esports",2019.5,40
"97","EDward Gaming",2019.5,56.1
"98","eStar",2019.5,62.2
"99","FunPlus Phoenix",2019.5,67.5
"100","Invictus Gaming",2019.5,71.8
"101","JD Gaming",2019.5,72.2
"102","LGD Gaming",2019.5,39.5
"103","LNG Esports",2019.5,36.6
"104","Oh My God",2019.5,44.7
"105","Rogue Warriors",2019.5,45
"106","Royal Never Give Up",2019.5,52.6
"107","Suning",2019.5,46.3
"108","Team WE",2019.5,48.8
"109","Top Esports",2019.5,62.2
"110","Vici Gaming",2019.5,48.8
"111","Victory Five",2019.5,3
"112","Bilibili Gaming",2020,43.6
"113","Dominus Esports",2020,16.7
"114","EDward Gaming",2020,52.6
"115","eStar",2020,32.5
"116","FunPlus Phoenix",2020,53.7
"117","Invictus Gaming",2020,63.4
"118","JD Gaming",2020,71.8
"119","LGD Gaming",2020,55
"120","LNG Esports",2020,36.1
"121","Oh My God",2020,36.6
"122","Rogue Warriors",2020,30.6
"123","Royal Never Give Up",2020,53.8
"124","Suning",2020,59.5
"125","Team WE",2020,55.8
"126","Top Esports",2020,73
"127","Vici Gaming",2020,46.3
"128","Victory Five",2020,63.4
"129","Bilibili Gaming",2020.5,42.1
"130","EDward Gaming",2020.5,77.8
"131","eStar",2020.5,19.4
"132","FunPlus Phoenix",2020.5,68.6
"133","Invictus Gaming",2020.5,58.3
"134","JD Gaming",2020.5,72.7
"135","LGD Gaming",2020.5,29.7
"136","LNG Esports",2020.5,45.7
"137","Oh My God",2020.5,28.2
"138","Rare Atom",2020.5,58.3
"139","Rogue Warriors",2020.5,8.8
"140","Royal Never Give Up",2020.5,78.4
"141","Suning",2020.5,63.6
"142","Team WE",2020.5,61.1
"143","ThunderTalk Gaming",2020.5,31.6
"144","Top Esports",2020.5,71.4
"145","Victory Five",2020.5,39.5
"146","Bilibili Gaming",2021,58.5
"147","EDward Gaming",2021,71.4
"148","FunPlus Phoenix",2021,71.8
"149","Invictus Gaming",2021,40.5
"150","JD Gaming",2021,45.9
"151","LGD Gaming",2021,45.9
"152","LNG Esports",2021,56.8
"153","Oh My God",2021,51.4
"154","Rare Atom",2021,61
"155","Rogue Warriors",2021,35.9
"156","Royal Never Give Up",2021,64.1
"157","Suning",2021,57.1
"158","Team WE",2021,57.5
"159","ThunderTalk Gaming",2021,22.2
"160","Top Esports",2021,60.5
"161","Ultra Prime",2021,33.3
"162","Victory Five",2021,8.6
"163","Bilibili Gaming",2021.5,58.5
"164","EDward Gaming",2021.5,71.4
"165","FunPlus Phoenix",2021.5,71.8
"166","Invictus Gaming",2021.5,40.5
"167","JD Gaming",2021.5,45.9
"168","LGD Gaming",2021.5,45.9
"169","LNG Esports",2021.5,56.8
"170","Oh My God",2021.5,51.4
"171","Rare Atom",2021.5,61
"172","Rogue Warriors",2021.5,35.9
"173","Royal Never Give Up",2021.5,64.1
"174","Suning",2021.5,57.1
"175","Team WE",2021.5,57.5
"176","ThunderTalk Gaming",2021.5,22.2
"177","Top Esports",2021.5,60.5
"178","Ultra Prime",2021.5,33.3
"179","Victory Five",2021.5,8.6
"180","Anyone's Legend",2022,35
"181","Bilibili Gaming",2022,56.8
"182","EDward Gaming",2022,62.2
"183","FunPlus Phoenix",2022,50
"184","Invictus Gaming",2022,34.2
"185","JD Gaming",2022,68.4
"186","LGD Gaming",2022,31
"187","LNG Esports",2022,59.5
"188","Oh My God",2022,48.8
"189","Rare Atom",2022,52.6
"190","Royal Never Give Up",2022,64.1
"191","Team WE",2022,35
"192","ThunderTalk Gaming",2022,27.5
"193","Top Esports",2022,58.5
"194","Ultra Prime",2022,36.6
"195","Victory Five",2022,72.5
"196","Weibo Gaming",2022,59
"197","Anyone's Legend",2022.5,43.2
"198","Bilibili Gaming",2022.5,45.2
"199","EDward Gaming",2022.5,65.8
"200","FunPlus Phoenix",2022.5,47.5
"201","Invictus Gaming",2022.5,40.9
"202","JD Gaming",2022.5,71.4
"203","LGD Gaming",2022.5,35.7
"204","LNG Esports",2022.5,51.3
"205","Oh My God",2022.5,48.8
"206","Rare Atom",2022.5,33.3
"207","Royal Never Give Up",2022.5,67.4
"208","Team WE",2022.5,17.9
"209","ThunderTalk Gaming",2022.5,43.9
"210","Top Esports",2022.5,76.3
"211","Ultra Prime",2022.5,31.6
"212","Victory Five",2022.5,75.7
"213","Weibo Gaming",2022.5,56.1
